Name,Special Education Enrollment,Regular Class 80 Percent or More of the Day,Regular Class 40 to 79 Percent of the Day,Regular Class 39 Percent or Less of the Day,Separate School & Other Settings,Preschool Setting,Missing/Unknown
Alameda,26,594,58.9%,12.6%,19.2%,3.7%,5.6%,0.0%
Alpine,13,84.6%,0.0%,15.4%,0.0%,0.0%,0.0%
Amador,753,45.0%,37.2%,13.0%,1.5%,3.3%,0.0%
Butte,4,600,58.2%,20.6%,12.4%,1.4%,7.5%,0.0%
Calaveras,986,54.9%,25.9%,11.7%,1.8%,5.8%,0.0%
Colusa,704,68.9%,15.6%,4.5%,2.8%,8.1%,0.0%
Contra Costa,22,819,58.8%,14.2%,18.1%,3.5%,5.3%,0.0%
Del Norte,711,56.1%,23.1%,11.3%,0.8%,8.7%,0.0%
El Dorado,4,178,71.3%,15.4%,9.7%,1.8%,1.8%,0.0%
Fresno,23,640,59.9%,11.6%,19.1%,2.8%,6.5%,0.0%
Glenn,913,67.1%,15.7%,8.5%,0.1%,8.5%,0.0%
Humboldt,3,073,69.9%,13.4%,8.4%,2.5%,5.9%,0.0%
Imperial,4,914,43.9%,29.5%,17.8%,2.5%,6.3%,0.0%
Inyo,526,65.6%,21.1%,4.0%,1.9%,7.4%,0.0%
Kern,23,199,59.2%,14.3%,20.2%,1.3%,5.1%,0.0%
Kings,3,210,66.2%,9.9%,14.8%,5.8%,3.3%,0.0%
Lake,1,252,61.3%,15.1%,19.3%,2.8%,1.4%,0.0%
Lassen,440,75.9%,15.9%,5.2%,0.2%,2.7%,0.0%
Los Angeles,185,366,56.7%,15.6%,18.0%,3.1%,6.6%,0.0%
Madera,3,329,62.8%,11.3%,16.4%,5.5%,4.1%,0.0%
Marin,3,953,63.2%,14.2%,12.8%,4.8%,4.9%,0.0%
Mariposa,251,58.6%,12.4%,18.7%,4.4%,6.0%,0.0%
Mendocino,1,776,62.0%,20.3%,11.7%,1.3%,4.7%,0.0%
Merced,7,248,57.4%,15.5%,20.0%,2.2%,4.9%,0.0%
Modoc,182,57.7%,24.7%,9.9%,0.5%,7.1%,0.0%
Mono,205,70.2%,14.6%,7.8%,1.0%,6.3%,0.0%
Monterey,9,158,65.5%,12.9%,15.0%,1.7%,4.9%,0.0%
Napa,2,567,57.8%,19.2%,14.2%,1.2%,7.6%,0.0%
Nevada,1,505,71.0%,16.4%,6.8%,1.7%,4.2%,0.0%
Orange,59,282,55.0%,18.8%,17.7%,2.0%,6.5%,0.0%
Placer,9,230,68.6%,12.9%,10.8%,1.6%,6.1%,0.0%
Plumas,318,78.3%,9.1%,6.3%,1.9%,4.4%,0.0%
Riverside,58,721,54.4%,19.1%,20.1%,2.1%,4.3%,0.0%
Sacramento,34,262,58.5%,13.4%,18.3%,3.7%,6.2%,0.0%
San Benito,1,617,63.8%,12.5%,13.6%,7.4%,2.7%,0.0%
San Bernardino,53,697,56.4%,14.8%,22.7%,2.3%,3.7%,0.0%
San Diego,74,929,64.5%,14.7%,12.6%,2.3%,5.9%,0.0%
San Francisco,7,496,66.9%,9.8%,16.5%,2.2%,4.5%,0.1%
San Joaquin,20,510,50.9%,14.9%,24.4%,3.5%,6.2%,0.0%
San Luis Obispo,5,004,61.5%,17.1%,13.2%,0.6%,7.6%,0.0%
San Mateo,10,653,63.0%,14.4%,14.0%,2.9%,5.7%,0.0%
Santa Barbara,8,549,59.4%,21.2%,10.4%,1.0%,8.0%,0.0%
Santa Clara,28,175,55.5%,17.5%,18.7%,2.8%,5.5%,0.0%
Santa Cruz,5,413,67.4%,13.1%,14.5%,0.9%,4.1%,0.0%
Shasta,3,610,55.3%,18.8%,17.2%,2.8%,5.8%,0.0%
Sierra,59,91.5%,0.0%,8.5%,0.0%,0.0%,0.0%
Siskiyou,645,74.9%,9.3%,10.5%,0.5%,4.8%,0.0%
Solano,8,313,57.5%,15.5%,17.5%,2.3%,7.2%,0.0%
Sonoma,9,941,53.6%,19.3%,15.8%,4.1%,7.2%,0.0%
Stanislaus,14,041,56.7%,17.0%,16.9%,3.3%,6.1%,0.0%
Sutter,3,044,68.8%,9.0%,14.8%,0.6%,6.8%,0.0%
Tehama,1,540,60.0%,20.1%,15.2%,0.7%,4.0%,0.0%
Trinity,234,67.5%,23.1%,6.4%,1.3%,1.7%,0.0%
Tulare,10,883,62.8%,15.5%,13.7%,2.3%,5.7%,0.0%
Tuolumne,904,59.3%,26.2%,10.5%,1.4%,2.5%,0.0%
Ventura,18,033,48.8%,26.3%,15.6%,2.9%,6.4%,0.0%
Yolo,4,472,69.5%,11.6%,10.2%,2.3%,6.5%,0.0%
Yuba,2,345,60.1%,17.6%,14.9%,1.3%,6.0%,0.0%
